"country","WhichCountryEatsTheMostChocolate_ChocolateProductsNESConsumed_Tonnes_2022","WhichCountryEatsTheMostChocolate_ConsumptionPerCap_GramsPerCapPerDay_2022","WhichCountryEatsTheMostChocolate_FoodSupply_KcalPerCapitaPerDay_2022","WhichCountryEatsTheMostChocolate_CaloriesPerYear_Kcal_2022","WhichCountryEatsTheMostChocolate_RevenuePerCapita_USD_2022","WhichCountryEatsTheMostChocolatePerCapitaConsumption2017"
"India",8049,0.02,0.08,40728,7.64,
"China",44285,0.09,0.43,224081,4.92,0.1
"United States",387216,3.14,15.87,1959314,154.6,4.4
"Indonesia",7453,0.07,0.38,37710,,
"Pakistan",4686,0.05,0.28,23709,,
"Nigeria",7842,0.1,0.5,39683,,
"Brazil",9791,0.12,0.63,49542,10.94,1.2
"Bangladesh",3062,0.05,0.25,15496,,
"Russia",57433,1.09,5.5,290613,,4.8
"Ethiopia",573,0.01,0.06,2899,,
"Mexico",297,0.01,0.03,1503,,
"Japan",170041,3.76,19.02,860407,,1.2
"Egypt",3099,0.08,0.39,15683,,
"Philippines",48795,1.16,5.85,246901,,
"DR Congo",2246,0.06,0.31,11363,,
"Vietnam",4283,0.12,0.6,21672,,
"Iran",17779,0.55,2.78,89960,,
"Turkey",46383,1.49,7.53,234696,,
"Germany",76445,2.51,12.71,386809,73.61,7.9
"Thailand",4378,0.17,0.85,22154,,
"United Kingdom",315228,12.79,64.73,1595054,50.45,7.6
"Tanzania",2131,0.09,0.45,10784,,
"France",222822,9.45,47.8,1127478,72.97,4.3
"South Africa",30977,1.42,7.17,156742,,0.9
"Italy",1887,0.09,0.44,9546,,
"Kenya",2585,0.13,0.66,13080,,
"Myanmar",1182,0.06,0.3,5979,,
"Colombia",12570,0.66,3.36,63605,,
"South Korea",17302,0.91,4.63,87547,,
"Sudan",3767,0.22,1.11,19059,,
"Uganda",846,0.05,0.25,4281,,
"Spain",16569,0.95,4.83,83841,,
"Algeria",4268,0.26,1.32,21597,,
"Iraq",61473,4.41,22.33,311051,,
"Argentina",27987,1.68,8.53,141616,,
"Afghanistan",2211,0.15,0.75,11189,,
"Yemen",14630,1.19,6.02,74027,,
"Canada",2758,0.2,0.99,13958,,
"Poland",1000,0.07,0.35,5060,,5.7
"Morocco",17862,1.31,6.61,90380,,
"Angola",4625,0.36,1.8,23402,,
"Ukraine",49305,3.4,17.22,249482,,
"Uzbekistan",31160,2.47,12.47,157671,,
"Malaysia",400,0.03,0.16,2024,,
"Mozambique",1541,0.13,0.65,7799,,
"Ghana",1990,0.16,0.82,10070,,
"Peru",362,0.03,0.15,1833,,
"Saudi Arabia",93768,7.06,35.7,474468,,
"Madagascar",619,0.06,0.29,3132,,
"Ivory Coast",14041,1.37,6.91,71047,,
"Nepal",4038,0.36,1.83,20431,,
"Cameroon",1704,0.17,0.85,8620,,
"Venezuela",29729,2.88,14.56,150428,,
"Niger",155,0.02,0.08,782,,
"Australia",26842,2.81,14.22,135822,,4.9
"Syria",8885,1.1,5.57,44958,,
"Mali",2540,0.31,1.56,12853,,
"Burkina Faso",1167,0.14,0.71,5907,,
"Taiwan",32341,3.71,18.76,163644,,
"Sri Lanka",512,0.06,0.33,2592,,
"Malawi",223,0.03,0.15,1129,,
"Kazakhstan",52103,7.36,37.24,263641,,
"Chad",881,0.14,0.69,4459,,
"Chile",35117,4.91,24.83,177692,,
"Romania",60057,8.37,42.35,303891,,
"Somalia",3030,0.47,2.39,15332,,
"Senegal",1274,0.2,1.02,6448,,
"Guatemala",4056,0.62,3.15,20522,,
"Netherlands",2029,0.32,1.6,10267,,
"Ecuador",7701,1.17,5.93,38970,,
"Cambodia",1269,0.21,1.05,6422,,
"Zimbabwe",1755,0.29,1.49,8880,,
"Guinea",2037,0.4,2.04,10308,,
"Benin",1127,0.23,1.17,5705,,
"Rwanda",626,0.12,0.63,3167,,
"Burundi",109,0.02,0.12,549,,
"Bolivia",9531,2.14,10.81,48228,,
