"Date","London futures (£ sterling/tonne)","New York futures (US$/tonne)","ICCO daily price (US$/tonne)","ICCO daily price (Euro/tonne)"
"14/11/2024","6,677.33","8,393.00","8,434.60","7,986.30"
"13/11/2024","6,231.33","7,858.67","7,885.45","7,463.19"
"12/11/2024","5,977.33","7,592.33","7,598.20","7,170.04"
"11/11/2024","5,668.33","7,108.33","7,200.04","6,758.32"
"08/11/2024","5,551.00","6,921.33","7,039.67","6,572.59"
"07/11/2024","5,572.33","7,034.67","7,130.43","6,602.43"
"06/11/2024","5,226.00","6,649.67","6,691.95","6,235.89"
"05/11/2024","5,371.00","6,913.67","6,950.13","6,365.28"
"04/11/2024","5,416.00","6,976.33","6,989.61","6,422.40"
"01/11/2024","5,466.33","6,960.67","7,017.60","6,467.77"
"31/10/2024","5,413.67","6,969.00","6,964.54","6,413.30"
"30/10/2024","5,432.33","6,974.00","7,015.16","6,458.51"
"29/10/2024","5,376.67","6,832.00","6,911.51","6,395.91"
"28/10/2024","5,042.67","6,494.67","6,519.52","6,027.95"
"25/10/2024","4,860.33","6,378.67","6,341.26","5,865.98"
"24/10/2024","4,797.33","6,309.00","6,263.53","5,796.59"
"23/10/2024","4,964.00","6,516.67","6,471.28","6,003.73"
"22/10/2024","5,015.67","6,578.00","6,541.28","6,054.29"
"21/10/2024","5,147.67","6,761.00","6,721.46","6,211.64"
"18/10/2024","5,115.67","6,829.33","6,744.84","6,214.36"
"17/10/2024","5,319.00","7,084.00","7,000.68","6,460.23"
"16/10/2024","5,281.00","7,015.67","6,939.56","6,382.66"
"15/10/2024","5,312.33","7,269.00","7,108.10","6,522.04"
"14/10/2024","5,171.00","6,999.33","6,872.06","6,300.31"
"11/10/2024","5,167.67","7,061.67","6,907.13","6,310.70"
"10/10/2024","5,029.00","6,770.67","6,667.01","6,100.65"
"09/10/2024","4,897.33","6,669.00","6,535.40","5,967.80"
"08/10/2024","4,647.67","6,351.00","6,216.12","5,666.93"
"07/10/2024","4,552.33","6,237.00","6,094.13","5,552.06"
"04/10/2024","4,618.67","6,337.00","6,193.84","5,650.95"
"03/10/2024","4,560.00","6,274.67","6,124.59","5,560.21"
"02/10/2024","4,475.67","6,266.33","6,099.19","5,519.46"
